TaoLine,Family,MemoryFileSmall,LargeMemory,LineNumber,TimesSeen,Points,SessionSeen,Chapter,T#Line
she is detached from all things,sauce,furry,sphere,7-10,0.0,0.0,0.0,7,84
that is why she is one with them,sauce,fool,housefly,7-11,0.0,0.0,0.0,7,85
because she has let go of herself,sauce,fetch,sawfish,7-12,0.0,0.0,0.0,7,86
she is perfectly fulfilled,sauce,foggy,esophagi,7-13,0.0,0.0,0.0,7,87
chapter 8,sauce,fife,hazy viva,8-0,0.0,0.0,0.0,8,88
the supreme good is like water,sauce,fob,sexy fbi,8-1,0.0,0.0,0.0,8,89
which nourishes all things without trying to,sauce,busy,spouse,8-2,0.0,0.0,0.0,8,90
it is content with the low places that people disdain,sauce,bead,houseboat,8-3,0.0,0.0,0.0,8,91
thus it is like the tao,sauce,ban,spine,8-4,0.0,0.0,0.0,8,92
in dwelling live close to the ground,sauce,balmy,spam,8-5,0.0,0.0,0.0,8,93
in thinking keep to the simple,sauce,berry,sparrow,8-6,0.0,0.0,0.0,8,94
in conflict be fair and generous,sauce,peel,spool,8-7,0.0,0.0,0.0,8,95
in governing dont try to control,sauce,bushy,speech,8-8,0.0,0.0,0.0,8,96
in work do what you enjoy,sauce,bike,spice,8-9,0.0,0.0,0.0,8,97
in family life be completely present,sauce,pave,spiffy,8-10,0.0,0.0,0.0,8,98
when you are content to be simply yourself,sauce,baby,soapbox,8-11,0.0,0.0,0.0,8,99
and dont compare or compete,seed,sauce,odysseus,8-12,0.0,0.0,0.0,8,100
everybody will respect you,seed,swat,taoist,8-13,0.0,0.0,0.0,8,101
chapter 9,seed,snowy,watson,9-0,0.0,0.0,0.0,9,102
fill your bowl to the brim,seed,sumo,twosome,9-1,0.0,0.0,0.0,9,103
and it will spill,seed,sorrow,tzar,9-2,0.0,0.0,0.0,9,104
keep sharpening your knife,seed,slow,tesla,9-3,0.0,0.0,0.0,9,105
and it will blunt,seed,sewage,tissue shoe,9-4,0.0,0.0,0.0,9,106
chase after money and security,seed,soak,desk,9-5,0.0,0.0,0.0,9,107
and your heart will never unclench,seed,savvy,disavow,9-6,0.0,0.0,0.0,9,108
care about peoples approval,seed,soap,hutzpa,9-7,0.0,0.0,0.0,9,109
and you will be their prisoner,seed,tease,duds,9-8,0.0,0.0,0.0,9,110
do your work then step back,seed,tight,deadhead,9-9,0.0,0.0,0.0,9,111
the only path to serenity,seed,tuna,taxation,9-10,0.0,0.0,0.0,9,112
chapter 10,seed,time,totem,10-0,0.0,0.0,0.0,10,113
can you coax your mind from its wandering,seed,dry,tutor,10-1,0.0,0.0,0.0,10,114
and keep to the original oneness,seed,tail,total,10-2,0.0,0.0,0.0,10,115
can you let your body become,seed,teach,toothache,10-3,0.0,0.0,0.0,10,116
supple as a newborn childs,seed,thick,hot dog,10-4,0.0,0.0,0.0,10,117
can you cleanse your inner vision,seed,dove,detoxify,10-5,0.0,0.0,0.0,10,118
until you see nothing but the light,seed,type,audiotape,10-6,0.0,0.0,0.0,10,119
can you love people and lead them,seed,noisy,euthanize,10-7,0.0,0.0,0.0,10,120
without imposing your will,seed,net,tnt,10-8,0.0,0.0,0.0,10,121
can you deal with the most vital matters,seed,nanny,athenian,10-9,0.0,0.0,0.0,10,122
by letting events take their course,seed,numb,autonomy,10-10,0.0,0.0,0.0,10,123
can you step back from you own mind,seed,winery,tuner,10-11,0.0,0.0,0.0,10,124
and thus understand all things,seed,inhale,tunnel,10-12,0.0,0.0,0.0,10,125
giving birth and nourishing,seed,nudgy,thinnish,10-13,0.0,0.0,0.0,10,126
having without possessing,seed,neck,dance,10-14,0.0,0.0,0.0,10,127
acting with no expectations,seed,envy,oath envoy,10-15,0.0,0.0,0.0,10,128
leading and not trying to control,seed,wannabe,tuneup,10-16,0.0,0.0,0.0,10,129
this is the supreme virtue,seed,mouse,times,10-17,0.0,0.0,0.0,10,130
chapter 11,seed,meet,tomato,11-0,0.0,0.0,0.0,11,131
we join spokes together in a wheel,seed,mean,domino,11-1,0.0,0.0,0.0,11,132
but it is the center hole,seed,mummy,exit mom,11-2,0.0,0.0,0.0,11,133
that makes the wagon move,seed,marry,admire,11-3,0.0,0.0,0.0,11,134
we shape clay into a pot,seed,male,oatmeal,11-4,0.0,0.0,0.0,11,135
but it is the emptiness inside,seed,match,tax macho,11-5,0.0,0.0,0.0,11,136
that holds whatever we want,seed,mock,atomic,11-6,0.0,0.0,0.0,11,137
we hammer wood for a house,seed,mauve,eat movie,11-7,0.0,0.0,0.0,11,138
but it is the inner space,seed,map,thumb,11-8,0.0,0.0,0.0,11,139
that makes it livable,seed,erase,dress,11-9,0.0,0.0,0.0,11,140
we work with being,seed,ready,tarot,11-10,0.0,0.0,0.0,11,141
but non being is what we use,seed,urine,-,11-11,0.0,0.0,0.0,11,142
chapter 12,seed,ram,-,12-0,0.0,0.0,0.0,12,143
colors blind the eye,seed,rare,-,12-1,0.0,0.0,0.0,12,144
sounds deafen the ear,seed,railway,-,12-2,0.0,0.0,0.0,12,145
flavors numb the taste,seed,reach,-,12-3,0.0,0.0,0.0,12,146
thoughts weaken the mind,seed,rocky,-,12-4,0.0,0.0,0.0,12,147
desires wither the heart,seed,roof,-,12-5,0.0,0.0,0.0,12,148
the master observes the world,seed,wrap,-,12-6,0.0,0.0,0.0,12,149
but trusts his inner vision,seed,lazy,-,12-7,0.0,0.0,0.0,12,150
he allows things to come and go,seed,lady,-,12-8,0.0,0.0,0.0,12,151
his heart is open as the sky,seed,align,-,12-9,0.0,0.0,0.0,12,152
chapter 13,seed,lame,-,13-0,0.0,0.0,0.0,13,153
success is as dangerous as failure,seed,lorry,-,13-1,0.0,0.0,0.0,13,154
hope is as hollow as fear,seed,lull,-,13-2,0.0,0.0,0.0,13,155
what does it mean that success is a dangerous as failure,seed,yellowish,-,13-3,0.0,0.0,0.0,13,156
whether you go up the ladder or down it,seed,leg,-,13-4,0.0,0.0,0.0,13,157
you position is shaky,seed,love,-,13-5,0.0,0.0,0.0,13,158
when you stand with your two feet on the ground,seed,loopy,-,13-6,0.0,0.0,0.0,13,159
you will always keep your balance,seed,cheese,-,13-7,0.0,0.0,0.0,13,160
what does it mean that hope is as hollow as fear,seed,cheat,-,13-8,0.0,0.0,0.0,13,161
hope and fear are both phantoms,seed,shiny,-,13-9,0.0,0.0,0.0,13,162
that arise from thinking of the self,seed,gem,-,13-10,0.0,0.0,0.0,13,163
when we dont see the self as self,seed,jury,-,13-11,0.0,0.0,0.0,13,164
what do we have to fear,seed,jolly,-,13-12,0.0,0.0,0.0,13,165
see the world as your self,seed,cha-cha,-,13-13,0.0,0.0,0.0,13,166
have faith in the way things are,seed,check,-,13-14,0.0,0.0,0.0,13,167
love the world as your self,seed,chief,-,13-15,0.0,0.0,0.0,13,168
then you can care for all things,seed,jeep,-,13-16,0.0,0.0,0.0,13,169
chapter 14,seed,kiss,-,14-0,0.0,0.0,0.0,14,170
look and it cant be seen,seed,good,-,14-1,0.0,0.0,0.0,14,171
listen and it cant be heard,seed,coin,-,14-2,0.0,0.0,0.0,14,172
reach and it cant be grasped,seed,comb,-,14-3,0.0,0.0,0.0,14,173
above it isnt bright,seed,grey,-,14-4,0.0,0.0,0.0,14,174
below it isnt dark,seed,clay,-,14-5,0.0,0.0,0.0,14,175
seamless unnamable,seed,coach,-,14-6,0.0,0.0,0.0,14,176
it returns to the realm of nothing,seed,quick,-,14-7,0.0,0.0,0.0,14,177
form that includes all forms,seed,cave,-,14-8,0.0,0.0,0.0,14,178
image without an image,seed,copy,-,14-9,0.0,0.0,0.0,14,179
subtle beyond all conception,seed,fussy,-,14-10,0.0,0.0,0.0,14,180
approach it and there is no beginning,seed,video,-,14-11,0.0,0.0,0.0,14,181
follow it and there is no end,seed,fine,-,14-12,0.0,0.0,0.0,14,182
you cant know it but you can be it,seed,foamy,-,14-13,0.0,0.0,0.0,14,183
at ease in your own life,seed,fairy,-,14-14,0.0,0.0,0.0,14,184
just realize where you come from,seed,fly,-,14-15,0.0,0.0,0.0,14,185
this is the essence of wisdom,seed,fishy,-,14-16,0.0,0.0,0.0,14,186
chapter 15,seed,fig,-,15-0,0.0,0.0,0.0,15,187
the ancient masters were profound and subtle,seed,viva,-,15-1,0.0,0.0,0.0,15,188
their wisdom was unfathomable,seed,fab,-,15-2,0.0,0.0,0.0,15,189
there is no way to describe it,seed,boss,-,15-3,0.0,0.0,0.0,15,190
all we can describe is their appearance,seed,bite,-,15-4,0.0,0.0,0.0,15,191
they were careful,seed,bony,-,15-5,0.0,0.0,0.0,15,192
as someone crossing an iced over stream,seed,puma,-,15-6,0.0,0.0,0.0,15,193
alert as a warrior in enemy territory,seed,bury,-,15-7,0.0,0.0,0.0,15,194
courteous as a guest,seed,blue,-,15-8,0.0,0.0,0.0,15,195
fluid as melting ice,seed,pouch,-,15-9,0.0,0.0,0.0,15,196
shapable as a block of wood,seed,poke,-,15-10,0.0,0.0,0.0,15,197
receptive as a valley,seed,puffy,-,15-11,0.0,0.0,0.0,15,198
clear as a glass of water,seed,pipe,-,15-12,0.0,0.0,0.0,15,199
do you have the patience to wait,sun,assess,-,15-13,0.0,0.0,0.0,15,200
till your mud settles and the water is clear,sun,sad,-,15-14,0.0,0.0,0.0,15,201
can you remain unmoving,sun,sun,-,15-15,0.0,0.0,0.0,15,202
till the right action arises by itself,sun,assume,-,15-16,0.0,0.0,0.0,15,203
the master doesnt seek fulfillment,sun,sorry,-,15-17,0.0,0.0,0.0,15,204
not seeking not expecting,sun,soil,-,15-18,0.0,0.0,0.0,15,205
she is present and can welcome all things,sun,switch,-,15-19,0.0,0.0,0.0,15,206
chapter 16,sun,sick,-,16-0,0.0,0.0,0.0,16,207
empty your mind of all thoughts,sun,sofa,-,16-1,0.0,0.0,0.0,16,208
let your heart be at peace,sun,sob,-,16-2,0.0,0.0,0.0,16,209
watch the turmoil of beings,sun,dizzy,-,16-3,0.0,0.0,0.0,16,210
but contemplate their return,sun,tattoo,-,16-4,0.0,0.0,0.0,16,211
each separate being in the universe,sun,widen,-,16-5,0.0,0.0,0.0,16,212
returns to the common source,sun,tame,-,16-6,0.0,0.0,0.0,16,213
returning to the source is serenity,sun,diary,-,16-7,0.0,0.0,0.0,16,214
if you dont realize the source,sun,tell,-,16-8,0.0,0.0,0.0,16,215
you stumble in confusion and sorrow,sun,whitish,-,16-9,0.0,0.0,0.0,16,216
when you realize where you come from,sun,dog,-,16-10,0.0,0.0,0.0,16,217
you naturally become tolerant,sun,defy,-,16-11,0.0,0.0,0.0,16,218
disinterested amused,sun,deep,-,16-12,0.0,0.0,0.0,16,219
kindhearted as a grandmother,sun,nose,-,16-13,0.0,0.0,0.0,16,220
dignified as a king,sun,unite,-,16-14,0.0,0.0,0.0,16,221
immersed in the wonder of the tao,sun,neon,-,16-15,0.0,0.0,0.0,16,222
you can deal with whatever life brings you,sun,enemy,-,16-16,0.0,0.0,0.0,16,223
and when death comes you are ready,sun,honour,-,16-17,0.0,0.0,0.0,16,224
chapter 17,sun,annual,-,17-0,0.0,0.0,0.0,17,225
when the master governs the people,sun,nacho,-,17-1,0.0,0.0,0.0,17,226
are hardly aware that he exists,sun,knock,-,17-2,0.0,0.0,0.0,17,227
next best is a leader who is loved,sun,naïve,-,17-3,0.0,0.0,0.0,17,228
next one who is feared,sun,honeybee,-,17-4,0.0,0.0,0.0,17,229
the worst is one who is despised,sun,amuse,-,17-5,0.0,0.0,0.0,17,230
if you dont trust the people,sun,mute,-,17-6,0.0,0.0,0.0,17,231
you make them untrustworthy,sun,moon,-,17-7,0.0,0.0,0.0,17,232
the master doesnt talk he acts,sun,mime,-,17-8,0.0,0.0,0.0,17,233
when his work is done,sun,merry,-,17-9,0.0,0.0,0.0,17,234
the people say amazing,sun,mole,-,17-10,0.0,0.0,0.0,17,235
we did it all by ourselves,sun,mash,-,17-11,0.0,0.0,0.0,17,236
chapter 18,sun,mucky,-,18-0,0.0,0.0,0.0,18,237
when the great tao is forgotten,sun,movie,-,18-1,0.0,0.0,0.0,18,238
goodness and piety appear,sun,mop,-,18-2,0.0,0.0,0.0,18,239
when the bodys intelligence declines,sun,rosy,-,18-3,0.0,0.0,0.0,18,240
cleverness and knowledge step forth,sun,road,-,18-4,0.0,0.0,0.0,18,241
when there is no peace in the family,sun,ruin,-,18-5,0.0,0.0,0.0,18,242
filial piety begins,sun,haram,-,18-6,0.0,0.0,0.0,18,243
when the country falls into chaos,sun,aurora,-,18-7,0.0,0.0,0.0,18,244
patriotism is born,sun,rule,-,18-8,0.0,0.0,0.0,18,245
chapter 19,sun,rich,-,19-0,0.0,0.0,0.0,19,246
throw away holiness and wisdom,sun,rag,-,19-1,0.0,0.0,0.0,19,247
and people will be a hundred times happier,sun,arrive,-,19-2,0.0,0.0,0.0,19,248
throw away morality and justice,sun,ripe,-,19-3,0.0,0.0,0.0,19,249
and people will do the right thing,sun,louse,-,19-4,0.0,0.0,0.0,19,250
throw away industry and profit,sun,let,-,19-5,0.0,0.0,0.0,19,251
and there wont be any thieves,sun,alien,-,19-6,0.0,0.0,0.0,19,252
if these three arent enough,sun,lime,-,19-7,0.0,0.0,0.0,19,253
just stay at the center of the circle,sun,lure,-,19-8,0.0,0.0,0.0,19,254
and let all things take their course,sun,loyal,-,19-9,0.0,0.0,0.0,19,255
chapter 20,sun,leech,-,20-0,0.0,0.0,0.0,20,256
stop thinking and end your problems,sun,lick,-,20-1,0.0,0.0,0.0,20,257
what difference between yes and no,sun,leafy,-,20-2,0.0,0.0,0.0,20,258
what difference between success and failure,sun,lip,-,20-3,0.0,0.0,0.0,20,259
must you value what others value,sun,chase,-,20-4,0.0,0.0,0.0,20,260
avoid what others avoid,sun,chatty,-,20-5,0.0,0.0,0.0,20,261
how ridiculous,sun,chin,-,20-6,0.0,0.0,0.0,20,262
other people are excited,sun,jam,-,20-7,0.0,0.0,0.0,20,263
as though they were at a parade,sun,cherry,-,20-8,0.0,0.0,0.0,20,264
i alone dont care,sun,chilli,-,20-9,0.0,0.0,0.0,20,265
i alone am expressionless,sun,judge,-,20-10,0.0,0.0,0.0,20,266
like an infant before it can smile,sun,shaky,-,20-11,0.0,0.0,0.0,20,267
other people have what they need,sun,chef,-,20-12,0.0,0.0,0.0,20,268
i alone possess nothing,sun,chop,-,20-13,0.0,0.0,0.0,20,269
i alone drift about,sun,cosy,-,20-14,0.0,0.0,0.0,20,270
like someone without a home,sun,cat,-,20-15,0.0,0.0,0.0,20,271
i am like an idiot my mind is so empty,sun,weaken,-,20-16,0.0,0.0,0.0,20,272
other people are bright,sun,gummy,-,20-17,0.0,0.0,0.0,20,273
i alone am dark,sun,crow,-,20-18,0.0,0.0,0.0,20,274
other people are sharper,sun,kill,-,20-19,0.0,0.0,0.0,20,275
i alone am dull,sun,catchy,-,20-20,0.0,0.0,0.0,20,276
other people have a purpose,sun,cake,-,20-21,0.0,0.0,0.0,20,277
i alone dont know,sun,give,-,20-22,0.0,0.0,0.0,20,278
i drift like a wave on the ocean,sun,agape,-,20-23,0.0,0.0,0.0,20,279
i blow as aimless as the wind,sun,vase,-,20-24,0.0,0.0,0.0,20,280
i am different from ordinary people,sun,fight,-,20-25,0.0,0.0,0.0,20,281
i drink from the great mothers breasts,sun,funny,-,20-26,0.0,0.0,0.0,20,282
chapter 21,sun,ovum,-,21-0,0.0,0.0,0.0,21,283
the master keeps her mind,sun,fry,-,21-1,0.0,0.0,0.0,21,284
always at one with the tao,sun,foul,-,21-2,0.0,0.0,0.0,21,285
that is what gives her her radiance,sun,veggie,-,21-3,0.0,0.0,0.0,21,286
the tao is ungraspable,sun,fake,-,21-4,0.0,0.0,0.0,21,287
how can her mind be at one with it,sun,fave,-,21-5,0.0,0.0,0.0,21,288
because she doesnt cling to ideas,sun,vibe,-,21-6,0.0,0.0,0.0,21,289
the tao is dark and unfathomable,sun,oppose,-,21-7,0.0,0.0,0.0,21,290
how can it make her radiant,sun,bad,-,21-8,0.0,0.0,0.0,21,291
because she lets it,sun,pony,-,21-9,0.0,0.0,0.0,21,292
since before time and space were,sun,bomb,-,21-10,0.0,0.0,0.0,21,293
the tao is,sun,pro,-,21-11,0.0,0.0,0.0,21,294
it is beyond is and is not,sun,bell,-,21-12,0.0,0.0,0.0,21,295
how do i know this is true,sun,patch,-,21-13,0.0,0.0,0.0,21,296
i look inside myself and see,sun,back,-,21-14,0.0,0.0,0.0,21,297
chapter 22,sun,beef,-,22-0,0.0,0.0,0.0,22,298
if you want to become whole,sun,pop,-,22-1,0.0,0.0,0.0,22,299
let yourself be partial,sumo,sassy,-,22-2,0.0,0.0,0.0,22,300
if you want to become straight,sumo,seed,-,22-3,0.0,0.0,0.0,22,301
let yourself be crooked,sumo,assign,-,22-4,0.0,0.0,0.0,22,302
if you want to become full,sumo,awesome,-,22-5,0.0,0.0,0.0,22,303
let yourself be empty,sumo,sierra,-,22-6,0.0,0.0,0.0,22,304
if you want to be reborn,sumo,sell,-,22-7,0.0,0.0,0.0,22,305
let yourself die,sumo,swishy,-,22-8,0.0,0.0,0.0,22,306
if you want to be given everything,sumo,sky,-,22-9,0.0,0.0,0.0,22,307
give everything up,sumo,save,-,22-10,0.0,0.0,0.0,22,308
the master by residing in the tao,sumo,sappy,-,22-11,0.0,0.0,0.0,22,309
sets an example for all beings,sumo,daisy,-,22-12,0.0,0.0,0.0,22,310
because he doesnt display himself,sumo,edit,-,22-13,0.0,0.0,0.0,22,311
people can see his light,sumo,wooden,-,22-14,0.0,0.0,0.0,22,312
because he has nothing to prove,sumo,dome,-,22-15,0.0,0.0,0.0,22,313
people can trust his words,sumo,draw,-,22-16,0.0,0.0,0.0,22,314
because he doesnt know who he is,sumo,tall,-,22-17,0.0,0.0,0.0,22,315
people recognize themselves in him,sumo,dish,-,22-18,0.0,0.0,0.0,22,316
because he has no goad in mind,sumo,take,-,22-19,0.0,0.0,0.0,22,317
everything he does succeeds,sumo,deaf,-,22-20,0.0,0.0,0.0,22,318
when the ancient masters said,sumo,tuba,-,22-21,0.0,0.0,0.0,22,319
if you want to be given everything,sumo,ionize,-,22-22,0.0,0.0,0.0,22,320
give everything up,sumo,neat,-,22-23,0.0,0.0,0.0,22,321
they werent using empty phrases,sumo,onion,-,22-24,0.0,0.0,0.0,22,322
only in being lived by the tao can you be truly yourself,sumo,name,-,22-25,0.0,0.0,0.0,22,323
chapter 23,sumo,narrow,-,23-0,0.0,0.0,0.0,23,324
express yourself completely,sumo,nail,-,23-1,0.0,0.0,0.0,23,325
then keep quiet,sumo,enjoy,-,23-2,0.0,0.0,0.0,23,326
be like the forces of nature,sumo,naggy,-,23-3,0.0,0.0,0.0,23,327
when it blows there is only wind,sumo,knife,-,23-4,0.0,0.0,0.0,23,328
when it rains there is only rain,sumo,nab,-,23-5,0.0,0.0,0.0,23,329
when the clouds pass the sun shines through,sumo,messy,-,23-6,0.0,0.0,0.0,23,330
if you open yourself to the tao,sumo,meadow,-,23-7,0.0,0.0,0.0,23,331
you are at one with the tao,sumo,mine,-,23-8,0.0,0.0,0.0,23,332
and you can embody it completely,sumo,mum,-,23-9,0.0,0.0,0.0,23,333
if you open yourself to insight,sumo,emery,-,23-10,0.0,0.0,0.0,23,334
you are at one with insight,sumo,mail,-,23-11,0.0,0.0,0.0,23,335
and you can use it completely,sumo,mushy,-,23-12,0.0,0.0,0.0,23,336
if you open yourself to loss,sumo,mug,-,23-13,0.0,0.0,0.0,23,337
you are at one with loss,sumo,move,-,23-14,0.0,0.0,0.0,23,338
and you can accept it completely,sumo,wimpy,-,23-15,0.0,0.0,0.0,23,339
open yourself to the tao,sumo,rice,-,23-16,0.0,0.0,0.0,23,340
then trust your natural responses,sumo,read,-,23-17,0.0,0.0,0.0,23,341
and everything will fall into place,sumo,runny,-,23-18,0.0,0.0,0.0,23,342
chapter 24,sumo,rum,-,24-0,0.0,0.0,0.0,24,343
he who stands on tiptoe,sumo,rear,-,24-1,0.0,0.0,0.0,24,344
doesnt stand form,sumo,royal,-,24-2,0.0,0.0,0.0,24,345
he who rushes ahead,sumo,roach,-,24-3,0.0,0.0,0.0,24,346
doesnt go far,sumo,rake,-,24-4,0.0,0.0,0.0,24,347
he who tries to shine,sumo,rough,-,24-5,0.0,0.0,0.0,24,348
dims his own light,sumo,rope,-,24-6,0.0,0.0,0.0,24,349
he who defines himself,sumo,lose,-,24-7,0.0,0.0,0.0,24,350
cant know who he really is,sumo,elite,-,24-8,0.0,0.0,0.0,24,351
he who has power over others,sumo,lion,-,24-9,0.0,0.0,0.0,24,352
cant empower himself,sumo,loom,-,24-10,0.0,0.0,0.0,24,353
he who clings to his work,sumo,leery,-,24-11,0.0,0.0,0.0,24,354
will create nothing that endures,sumo,lily,-,24-12,0.0,0.0,0.0,24,355
if you want to accord with the tao,sumo,latch,-,24-13,0.0,0.0,0.0,24,356
just do your job then let go,sumo,lucky,-,24-14,0.0,0.0,0.0,24,357
chapter 25,sumo,lava,-,25-0,0.0,0.0,0.0,25,358
